text,processed,polarity_score,polarity
"Secara experience menginap sangat nyaman dan enak sekali disini. Saya memesan condotel studio, kamarnya nyaman, AC central, Dan juga kolam renangnya mantap. Ada kolam air hangatnya hanya saja waktu sabtu ke minggu, tamu membludak sehingga lift selalu penuh. Saya kesulitan untuk naik dan turun saat itu.",experience inap nyaman enak mes condotel studio kamar nyaman ac central kolam renang mantap kolam air hangat sabtu minggu tamu membludak lift penuh sulit turun,19,positive
Oke banget buat liburan keluarga.,oke banget libur keluarga,10,positive
"Proses check in cpt dan ga ribet sama sekali, jam 1 pun kamar sudah ready mantap bgt. Kamar bersih, kamar mandi jg bersih, bathub terawat, makanan nya sangat bervariasi dan enak2, ga kecewa menginap disini..kolam renang pun ada yg kolam panasnya jadi anak bayik gak takut berenang pagi2 hihi okedeh pokonya InshaAllah kalau ada rezeky lagi mau menginap disini lagi. Cuma 1 doang minus nya, handuk dikamar mandi masih ada noda kering gitu tp ketika minta ganti lgsg di ganti.. thank you traveloka sudah membantu menemukan hotel yg oke",proses check in cpt ga ribet jam kamar ready mantap bgt kamar bersih kamar mandi jg bersih bathub awat makan nya variasi enak ga kecewa inap kolam renang yg kolam panas anak bayik gak takut renang pagi hihi okedeh poko inshaallah rezeky inap doang minus nya handuk kamar mandi noda kering gitu tp ganti lgsg ganti thank you traveloka bantu temu hotel yg oke,25,positive
"Hotel nyaman, bersih dan aman. Pelayanan cepat dan ramah.",hotel nyaman bersih aman layan cepat ramah,15,positive
Menyenangkan. Fasilitas lengkap. Kebersihan terjaga. Kolam renang air airnya hangat. Sarapannya variatif.,senang fasilitas lengkap bersih jaga kolam renang air air hangat sarap variatif,14,positive
Hotel oke harga cukup ekonomis 👍,hotel oke harga ekonomis,9,positive
"Cuma kok anak-anak kena charge ya untuk breakfast nya? Saya menginap dengan istri dan anak, anak saya usia 5 tahun, begitu mau sarapan langsung dinfokan kena charge. Perasaan baru kali ini selama saya menginap di hotel, anak 5 tahun kena charge sarapan.",anak anak kena charge ya breakfast nya inap istri anak anak usia sarap langsung dinfokan kena charge asa kali inap hotel anak kena charge sarap,-3,negative
"Booking yang condotel studio, tapi penuh jadi diupgrade ke executive. Untuk yg executive ini ada balkonnya. Tapi untuk buka pintu balkon, harus telpon petugas buat minta bukain kuncinya. Di kamarnya ada meja makan, dan kitchen tapi nggak bisa masak dan nggak ada peralatan masak / makannya. Untuk bathroom, cukup nyaman. Air dan toiletries nggak ada masalah. Bahkan saat anak sy sempat muntah dan tidak ada lap, saya lap menggunakan handuk lalu saya minta tuker sama yang baru. Pelayanannya sangat baik. Ketika anak saya muntah di kasur, saya meminta petugas untuk langsung dibersihkan. Spreinya langsung mereka ganti baru. Tanpa menunggu lama. Thumbs up! Oia khusus untuk minimal kamar Executive, kita bisa pilih breakfast di lantai 1 dekat lobby atau di lantai 19. Saya sendiri pilih di lantai 19. Cukup sepi, tidak crowded seperti di lantai 1. Dan bonus pemandangan kota bandung & gunung tangkuban parahu. Namun entah kenapa menurut saya rasa dan variasi untuk sekelas El Royale terlalu below expectation saya. Semoga ke depannya ada improvement. Oia saya juga diperbolehkan membawa 1 mangkuk kecil buah potong ke kamar untuk anak saya hihihi karena anak saya masih tidur saat itu. Terima kasih El Royale atas pelayanannya! Keep up the good services!",booking condotel studio penuh diupgrade executive yg executive balkon buka pintu balkon telpon tugas bukain kunci kamar meja makan kitchen nggak masak nggak alat masak makan bathroom nyaman air toiletries nggak anak sy muntah lap lap handuk tuker layan anak muntah kasur tugas langsung bersih spreinya langsung ganti tunggu thumbs up oia khusus minimal kamar executive pilih breakfast lantai lobby lantai pilih lantai sepi crowded lantai bonus pandang kota bandung gunung tangkuban parahu variasi kelas el royale below expectation moga improvement oia bawa mangkuk buah potong kamar anak hihihi anak tidur terima kasih el royale layan keep up the good services,-8,negative
"Buat saya yang bawa bayi terlalu repot perjalanan dari parkiran ke lobby karena banyak tangganya. Saya dapat lantai 18, lift lama dan muat sedikit orang. Untuk kamar semua oke.",bawa bayi repot jalan parkir lobby tangga lantai lift muat orang kamar oke,-4,negative
"Sangat dekat dengan jalan Braga, kamar sangat cocok buat pasangan.",jalan braga kamar cocok pasang,8,positive
"Kamarnya nyaman seperti di apartemen, view kamar oke, fasilitas oke, kebersihan oke, breakfast lumayan cuma pilihan menunya sedikit.",kamar nyaman apartemen view kamar oke fasilitas oke bersih oke breakfast lumayan pilih menu,11,positive
"Kamar oke, cuma sarapannya saja kurang banyak pilihan, selebihnya oke bagus.",kamar oke sarap pilih oke bagus,7,positive
"Varian makanan sarapannya banyak, staf hotelnya ramah-ramah, top pokoknya.",varian makan sarap staf hotel ramah ramah top pokok,24,positive
"Awalnya sedikit kesal pada saat check-in, badan lelah ingin segera rebahan namun kamar belum juga available padahal pada saat itu sudah lewat pukul 2 siang. Untuk pelayanannya baik, makanannya juga enak dan variatif, kolam renang juga luas.",kesal check in badan lelah rebah kamar available siang layan makan enak variatif kolam renang luas,17,positive
"Kamarnya oke, lokasinya tengah kota jadi enak bisa jalan” ke braga pas malem, breakfast nya enakkkk ! thank you traveloka buat epic sale nya sering” yah ❤️",kamar oke lokasi kota enak jalan braga pas malem breakfast nya enakkkk thank you traveloka epic sale nya yah,12,positive
"Saya cukup puas menginap disini, dengan hotel yang sangat besar dan kolam renang yang besar juga. cukup memuaskan, walaupun hotelnya sudah lama, Tapi terjaga kebersihannya. Hanya sempat ada masalah karena saya di upgrade ke kamar tipe kana executive seharusnya dapat yang ros. Ketika sampai roomnya menurut saya tidak lebih bagus dari kamar yang ros. Hanya ada penambahan meja kerja dan meja. Sedangkan di ros designnya lebih bagus karena ada pembatas kaca antara bed room dan bath room, jadi terlihat lebih mewah. Tapi akhirnya pihak hotel cepat tanggap, dan +2-30 menit saya di kasih kamar ros executive sesuai pesanan saya, untuk breakfastnya juga sangat puas, Enak semua dan sangat lengkap. Ada sushi, egg corner, mie corner, empal gentong (ini enak banget), hidangan arab. Pancake, aneka bubur, prasmanan, Neneka roti, buah and dessert hanya saja hotel ini agak ramai. Jadi agak lama menunggu untuk check-in dan check-out. Tapi overall puas menginap disni.",puas inap hotel kolam renang muas hotel jaga bersih upgrade kamar tipe kana executive ros roomnya bagus kamar ros meja kerja meja ros designnya bagus batas kaca bed room bath room mewah hotel cepat tanggap menit kasih kamar ros executive sesuai pesan breakfastnya puas enak lengkap sushi egg corner mie corner empal gentong enak banget hidang arab pancake aneka bubur prasmanan neneka roti buah and dessert hotel ramai tunggu check in check out overall puas inap disni,60,positive
"Kamar luas, nyaman dan penting bersih. Posisi strategis, di tengah kota, mau apa saja akses gampang. Breakfast juga oke, swimming pool oke. Totally semua oke lah.",kamar luas nyaman bersih posisi strategis kota akses gampang breakfast oke swimming pool oke totally oke,18,positive
"Betah banget selama menginap disini, cocok untuk staycation keluarga di hari libur, ramai banget hotelnya pas weekend.",betah banget inap cocok staycation keluarga libur ramai banget hotel pas weekend,22,positive
Menikmatin sekali perjalanan ini.,menikmatin jalan,0,neutral
"pelayanannya baik. hanya menunggu 5 menit untuk dapat kunci. saya pesan kamar condotel studio kamar bersih, besar view nya kolam renang. kolam renang nya air hangat jadi enak utk berendam. sarapan nya enak, banyak pilihan.",layan tunggu menit kunci pesan kamar condotel studio kamar bersih view nya kolam renang kolam renang nya air hangat enak utk rendam sarap nya enak pilih,18,positive
"Pelayanannya sangat ramah sekali, cuma pemandangan dikamar kurang bagus, mungkin lain kali akan upgrade kamar.",layan ramah pandang kamar bagus kali upgrade kamar,10,positive
"Tempat nyaman, hotel besar banget. Jadi bingung tiap tower beda-beda lift, paling asik kolam renang ada air hangat jadi baby tidak takut kedinginan, Sarapan bervariasi, dekat ke braga dan alun-alun bisa jalan kaki, mau banget menginap di el hotel lagi.",nyaman hotel banget bingung tower beda beda lift asik kolam renang air hangat baby takut dingin sarap variasi braga alun alun jalan kaki banget inap el hotel,18,positive
"Hampir semua baik, hanya antrian breakfast-nya saja negatif.",antri breakfast nya negatif,0,neutral
"Hotel yang bagus, bersih, makanan enak, nyaman pokoknya, nanti kalau ke Bandung menginap di sini lagi.",hotel bagus bersih makan enak nyaman pokok bandung inap,17,positive
"Pelayanan baik dan ramah, tapi pada saat kamar minta dibersihkan karena kita stay 2 malam dan ternyata spreinya dan selimut tidak diganti, dan bekas ganti sarung bantal malah ada di atas tumpukan tas saya. Selebihnya bagus semua dan akan selelu menjadi pilihan hotel saya setiap saat ke Bandung.",layan ramah kamar bersih stay malam spreinya selimut ganti bekas ganti sarung bantal tumpu tas bagus selelu pilih hotel bandung,14,positive
Great hotel. Helpful staff. Hanya untuk makanan agak kurang taste-nya.,great hotel helpful staff makan taste nya,5,positive
"Nice hotel, dekat kemana-mana.",nice hotel,5,positive
Yang bikin seneng cuma breakfast nya yg variatif dan enak2 walaupun untuk anak 5tahun ke atas udah harus bayar75k. untuk di tower merdeka bangunan tua . bnyak lampu kamar gak bisa nyala. +nya hanya ada bathub,bikin neng breakfast nya yg variatif enak anak udah bayar k tower merdeka bangun tua bnyak lampu kamar gak nyala nya bathub,10,positive
"Ini kali kedua kami menginap disini untuk liburan keluarga, yang pertama di Condotel yang kedua di Merdeka Twin. Secara keseluruhan kami puas dengan pelayanan yang diberikan. (+) * Pelayanan cepat dan ramah * Bersih, ada bench di dalam kamar * Fasilitas kolam renang ramah anak dengan kolam khusus anak & air hangatnya * Menu sarapan bervariasi & rasanya cocok di lidah kami * Channel tv bersih * Parkir B1, B2 dan B3 cukup banyak * Lokasi strategis * Sangat dekat sekali dengan Katedral, cukup jalan kaki (-) * Kebersihan Merdeka Twin harus ditingkatkan supaya sama dengan condotel * Jalur naik dari parkir B2 ke B1 berbelok dan lebarnya pas sekali jadi untuk mobil yang berbadan lebar atau panjang harus ekstra hati-hati (banyak ""jejak sejarah"" di dindingnya). Kalau lagi ada acara atau peak biasanya parkir B1 penuh tetapi petugas di area parkir ramah-ramah dan bersedia membantu carikan tempat atau membantu parkir paralel.",kali inap libur keluarga condotel merdeka twin puas layan layan cepat ramah bersih bench kamar fasilitas kolam renang ramah anak kolam khusus anak air hangat menu sarap variasi cocok lidah channel tv bersih parkir b b b lokasi strategis katedral jalan kaki bersih merdeka twin tingkat condotel jalur parkir b b belok lebar pas mobil badan lebar ekstra hati hati jejak sejarah dinding acara peak parkir b penuh tugas area parkir ramah ramah sedia bantu cari bantu parkir paralel,63,positive
"Seru dan berkesan, keluarga pun happy.",seru kesan keluarga happy,14,positive
"Kamar studio yang baik, bersih dan nyaman, sarapan yang enak serta kolam renang yang nyaman.",kamar studio bersih nyaman sarap enak kolam renang nyaman,14,positive
Meski saya kebagian menginap di kamar yang agak ‘ sepuh’ tapi bersih dan semua fasilitas dengan baik,inap kamar sepuh bersih fasilitas,5,positive
"Menginap 2 malam di sini cukup menyenangkan, awalnya hanya menginap satu malam pesan via Traveloka. Tapi karena anak nangis belum mau pulang, akhirnya pesan lagi 1 malam. Staffnya ramah-ramah, kamar cukup luas, kamar mandinya ada bathtub, anak-anak pasti suka kamar mandi seperti itu, kolam renang ada air hangatnya, menu restoran variatif, cukup enak dan lezat. Cocok untuk hotel pilihan keluarga. Meskipun nuansanya masih agak jadul.",inap malam senang inap malam pesan via traveloka anak nang pulang pesan malam staffnya ramah ramah kamar luas kamar mandi bathtub anak anak suka kamar mandi kolam renang air hangat menu restoran variatif enak lezat cocok hotel pilih keluarga nuansa jadul,23,positive
"Kamar bersih, makanan variatif dan enak, lokasi strategis. Ke Bandung mesti menginap disini lagi.",kamar bersih makan variatif enak lokasi strategis bandung mesti inap,4,positive
"Dari awal proses check in sampai check out, seluruh staff sangat membantu. Lokasi strategis ke berbagai tempat yang wajib dikunjungi kalau ke Bandung. Breakfast enak",proses check in check out staff bantu lokasi strategis wajib kunjung bandung breakfast enak,11,positive
"Pengalaman yang menyenangkan, kami menginap tgl 10 agust-12 agust dengan memesan 2 kamar. memasuki lobby suasana terasa lega, check-in mudah, Koridor dengan karpet yang bersih, lift bersih, kamar lega dan bersih, kamar mandi bersih, handuk oke, kasur nyaman, AC dingin, tidak ada bau-bau aneh. Overall semua hal-hal kecil yang kadang suka jadi masalah di beberapa hotel lain. disini cukup terawat? kolam renang oke, sarapan dengan menu bervariasi. Tersedia juga mushola bagi yang muslim. Kebetulan kami menginap bertepatan hari idul adha ternyata pihak hotel juga mengadakan shalat idd adha dengan ustadz yang bagus. Thank's a lot El hotel royale. Hari senin check-out dengan hati lega, worth it banget?",alam senang inap tgl agust agust mes kamar pasuk lobby suasana lega check in mudah koridor karpet bersih lift bersih kamar lega bersih kamar mandi bersih handuk oke kasur nyaman ac dingin bau bau aneh overall kadang suka hotel awat kolam renang oke sarap menu variasi sedia mushola muslim inap idul adha hotel shalat idd adha ustadz bagus thank s a lot el hotel royale senin check out hati lega worth it banget,55,positive
"Sudah kali kedua menginap di sini, cukup memuaskan dari segi pelayananannya. Sarapan variatif untuk kebersihannya, Mungkin perlu improvment dan bathtub perlu ada alas anti slip. Next time kesini lagi.",kali inap muas segi pelayananannya sarap variatif bersih improvment bathtub alas anti slip next time kesini,-3,negative
"Kamarnya lumayan bersih dan luas, makanan enak-enak. Lokasi dekat dengan Braga City walk. Jadi mudah kalau ingin jalan malam-malam cari makan. Secara lokasi strategis banget. Kalau ke Bandung lagi saya akan menginap disini lagi.",kamar lumayan bersih luas makan enak enak lokasi braga city walk mudah jalan malam malam cari makan lokasi strategis banget bandung inap,17,positive
"Menyenangkan sekali. Kebetulan ambil type kamar condotel yang tingkat. Nyaman banget sampi tidak mau plang sebenarnya sangking nyamannya untuk breakfast lebih ditingkatkan, semua bagus.",senang ambil type kamar condotel tingkat nyaman banget sampi plang sangking nyaman breakfast tingkat bagus,13,positive
"Top semua-muanya recommended banget, kamarnya oke poolnya juga oke dan harga juga bersahabat, pelayanan juga ramah-ramah.",top mua recommended banget kamar oke poolnya oke harga sahabat layan ramah ramah,29,positive
"Dapat kamar yang nyaman, kolam renang bagus dan ada masjidnya. Pagi hari ada acara memasak bareng chef seru, amazing holiday.",kamar nyaman kolam renang bagus masjid pagi acara masak bareng chef seru amazing holiday,18,positive
"Pesan studio condotel, pas check-in sudah habis dan dapat free upgrade kana executive, proses check-in cepat, kamar luas dan bagus, pelayanan ramah, kolam renang ada air hangat, menu sarapan lumayan lengkap dan enak. Kami sangat puas dan akan kembali lagi kalau liburan ke Bandung.",pesan studio condotel pas check in habis free upgrade kana executive proses check in cepat kamar luas bagus layan ramah kolam renang air hangat menu sarap lumayan lengkap enak puas libur bandung,46,positive
"Hotelnya dekat dengan wisata kuliner, hotel bersih, sarapannya pun variasi.",hotel wisata kuliner hotel bersih sarap variasi,5,positive
Kamar yang luas dan bersih. Cocok kalau bawa anak karena ada pantry di kamar dan meja kursi makan. Menu sarapan sangat kurang enak. Tidak seperti hotel bintang 4. Kolam renang full banget,kamar luas bersih cocok bawa anak pantry kamar meja kursi makan menu sarap enak hotel bintang kolam renang full banget,14,positive
Ini hotel yang lumayan bagus dengan harga yang terjangkau.,hotel lumayan bagus harga jangkau,7,positive
"Kamar luas, ada kursi tidur, pantry bathub air panas banyak cocok buat keluarga.",kamar luas kursi tidur pantry bathub air panas cocok keluarga,17,positive
"Kami menginap 2 malam dan hotelnya oke. Kamarnya luas, ada kitchen zink nya. Kolam renangnya juga besar. Kemana-mana dekat",inap malam hotel oke kamar luas kitchen zink nya kolam renang,5,positive
"Hotelnya nyaman, kolam renangnya jg bagus ada kolam air hangat, jadi bisa buat anak2 berenang. Staff hotel juga helpful. Pas saya kesana, kebetulan memang masih musim liburan, jadi hotelnya penuh ditambah ada acara seminar & wisuda. Check in-nya juga lama. Liftnya juga kecil, jadi dengan antrian segitu banyak orang, jad lama banget. Untuk breakfastnya, variasinya ok. Tapi banyak yang ga hangat/panas. Rasanya juga biasa aja. Berhubung hotelnya sebelahan sama rel kereta, jadi kalo menuju hotel, mesti sabar banget karena cukup macet.",hotel nyaman kolam renang jg bagus kolam air hangat anak renang staff hotel helpful pas kesana musim libur hotel penuh acara seminar wisuda check in nya lift antri segitu orang jad banget breakfastnya variasi ok ga hangat panas aja hubung hotel belah rel kereta kalo hotel mesti sabar banget macet,20,positive
Makanan terenak selama menginap di beberapa hotel di Bandung ❤️,makan enak inap hotel bandung,8,positive
"Secara umum menginap di El Hotel Royale Bandung cukup memuaskan. Hanya saja waktu check-in yang bersamaan dimana kami sekeluarga mengantri sampai 1 jam. Ada petugas di FO yang kurang sigap dengan pesanan pengunjung yang banyak, bahkan ada pengunjung yang tidak masuk jalur antrian didahulukan. Entah berapa banyak yang antri pada menggerutu. fasilitas oke lah, hanya untuk playgroundnya agak nangung. Kurang banyak fasilitas untuk anaknya. Secara keseluruhan nyaman buat dikunjungi lagi.",inap el hotel royale bandung muas check in keluarga antri jam tugas fo sigap pesan unjung unjung masuk jalur antri antri gerutu fasilitas oke playgroundnya nangung fasilitas anak nyaman kunjung,17,positive
"Hotel favorite kalau ke Bandung, lokasi strategis, kamar type studio apartement yang luas, bersih, kolam renang hangat, sarapan enak.",hotel favorite bandung lokasi strategis kamar type studio apartement luas bersih kolam renang hangat sarap enak,17,positive
"Overall oke banget, hotelnya sesuai harapan. Tapi ada salah 1 karyawan perempuannya sih agak kurang memberikan pelayanannya dan kurang memberikan informasinya dibanding karyawan laki-lakinya. Insya allah next time kalau menginap mau di El hotel royal lagi.",overall oke banget hotel sesuai harap salah karyawan perempuan sih layan informasi banding karyawan laki laki insya allah next time inap el hotel royal,22,positive
"Makanannya enak, tempat bersih dan pelayanannya ramah. Suasana sunda banget, pokoknya nyaman.",makan enak bersih layan ramah suasana sunda banget pokok nyaman,25,positive
"Kamarnya bersih, makanannya enak-enak. Harga pas di kantong untuk kelas bintang 4.",kamar bersih makan enak enak harga pas kantong kelas bintang,15,positive
"Dekat braga, breakfast cukup variatif.",braga breakfast variatif,0,neutral
"Menyenangkan, ini kali kedua saya menginap bersama keluarga. Saya menginap bersama dengan keluarga besar yang anggota keluarganya lengkap dari lansia hingga baby. Kali ini bertepatan dengan libur lebaran. Suasana hotel ramai tapi tidak mengurangi service yang ada. Anak-anak senang kami pun tenang. Hal yang spesial adalah saat breakfast bukan di restoran seperti hari biasa tapi di ballroom karena ada lebih dari 900 orang yang harus dilayani mengutip dari staff hotel. Jadi makan pagi tidak harus antri meja, antri buffet tidak panjang karena disebar di beberapa titik, makan tetap nyaman.",senang kali inap keluarga inap keluarga anggota keluarga lengkap lansia baby kali libur lebaran suasana hotel ramai service anak anak senang tenang spesial breakfast restoran ballroom orang layan kutip staff hotel makan pagi antri meja antri buffet sebar titik makan nyaman,44,positive
"Pertama x masuk lobi hotel kita sudah disambut hangat oleh para karyawan el royale, kami saat itu menginap di condotel studio tapi ternyata kamar yg kami pesan full dan front office pun meng-upgrade kamar saya ke eksekutif, wow tanpa dipungut biaya sepeser pun, dan ternyata kamarnya bagus sekali, ibu mertua saya juga senang dan betah, sayangnya kita cuma 1 malam saja, sarapan pun enak-enak banyak variant -ya, tapi kami tak sempat mencoba swiming pool-nya hanya ambil fotonya aaja dari jendela kamar, benar-benar memuaskan dan saya akan kembali lagi ke bandung dan menginap di el royale, tks el royale.",x masuk lobi hotel sambut hangat karyawan el royale inap condotel studio kamar yg pesan full front office meng upgrade kamar eksekutif wow pungut biaya peser kamar bagus mertua senang betah sayang malam sarap enak enak variant ya coba swiming pool nya ambil foto aaja jendela kamar muas bandung inap el royale tks el royale,35,positive
"Overall memuaskan hotel ini langganan saya jika menginap di bandung, hanya ada sedikit saran jika bisa lift di tambah, Karena saat peak season nunggu lift bisa sampai 30 menit saking ramainya.",overall muas hotel langgan inap bandung saran lift peak season nunggu lift menit saking ramai,15,positive
"Liburan asyik bawa anak-anak, kamar nyaman, Makanan enak akan tetapi ada kejadian lampu dan AC di kamar mati alhamdulillah cepat tanggap agak berisik setiap ada yang lari-lari dan berbicara di luar kamar.",libur asyik bawa anak anak kamar nyaman makan enak lampu ac kamar mati alhamdulillah cepat tanggap berisik lari lari bicara kamar,23,positive
"Kamarnya luas, pemandangannya bagus, makanannya juga banyak makanannya enak jugaa. Pegawainya baik dan ramah-ramah.",kamar luas pandang bagus makan makan enak jugaa pegawai ramah ramah,26,positive
"Luas, nyaman, pelayanan baik, ramah.",luas nyaman layan ramah,14,positive
"Kamar bersih, kamar mandinya ada bathtub dan sesuai dengan deskripsi dari aplikasi. Kolam renangnya memuaskan dan airnya tidak dingin. Sarapannya standar hotel bintang 4. Sejauh ini pengalaman kami sangat puas dan akan kembali lagi di kemudian hari.",kamar bersih kamar mandi bathtub sesuai deskripsi aplikasi kolam renang muas air dingin sarap standar hotel bintang alam puas,8,positive
"Saya suka sekali dengan tipe kamar Condotel Studio di eL Royal ini. Apalagi dikasih view ke swimming pool. Dan ada dapur mini dan meja makannya lagi, puas sekali. Hanya saja untuk kebersihan tirai kurang, agak kotor. Untuk kebersihan lainnya oke. Staff-nya ramah-ramah dan sangat membantu, breakfast oke. Kolam renang juga oke, anak-anak suka.",suka tipe kamar condotel studio el royal kasih view swimming pool dapur mini meja makan puas bersih tirai kotor bersih oke staff nya ramah ramah bantu breakfast oke kolam renang oke anak anak suka,15,positive
"Kamar condotel dan rose cukup luas, sangat bagus dan memuaskan. Tetapi kamar di gedung lama sangat mengecewakan dan kurang bersih. Makanan/sarapan tidak begitu enak.",kamar condotel rose luas bagus muas kamar gedung kecewa bersih makan sarap enak,19,positive
Staf ramah. Fasilitas sesuai dengan yang tertera di deskripsi. Makanan enak.,staf ramah fasilitas sesuai tera deskripsi makan enak,12,positive
"Kamarnya luas, bersih, makanannya enak-enak, parkirannya luas, untuk liburan keluarga sih recommended banget.",kamar luas bersih makan enak enak parkir luas libur keluarga sih recommended banget,26,positive
"Kamar bersih, luas dan nyaman, sarapan komplet dan enak.",kamar bersih luas nyaman sarap komplet enak,18,positive
"Makanan enak, variasinya cukup lah. Fasilitas lengkap dengan harga yang terjangkau. Sangat recommended sekali",makan enak variasi fasilitas lengkap harga jangkau recommended,13,positive
"Kamarnya luas, linennya bersih, sarapan paginya banyak pilihan dan enak, lokasi di tengah kota, direkomendasikan buat yang mau menginap di tengah kota.",kamar luas linen bersih sarap pagi pilih enak lokasi kota rekomendasi inap kota,10,positive
"Hotel bintang 4, harga bintang 3, very good.",hotel bintang harga bintang very good,9,positive
"Lokasi strategis..dekat dengan banyak tempat makan dan hangout,breakfastnya juga ok,suasana lobby rapi,menyenangkan dan pelayanan jg ramah. Signal wifi kenceng banget. Dengan harga yg relatif terjangkau bisa dapet fasilitas yg ok. Kamar jg bersih. Untuk minusnya jg lumayan sih,indikator keran bathtub nya terbalik harusnya panas jadi dingin dan sebaliknya. Musholanya (lt.4)kurang bersih dan tidak ada perlengkapan shalatnya mungkin karna sedang renovasi. Kebetulan kamar depan saya ada yg merokok dan kamarnya dibuka sehingga asap rokoknya sampai ke kamar saya, kemungkinan jg exhaustnya kurang efektif. Tapi overall sih hotel ini nyaman dan terjangkau,mungkin lain kali saya ingin menginap lagi disini.",lokasi strategis makan hangout breakfastnya ok suasana lobby rapi senang layan jg ramah signal wifi kenceng banget harga yg relatif jangkau dapet fasilitas yg ok kamar jg bersih minus jg lumayan sih indikator keran bathtub nya panas dingin musholanya lt bersih lengkap shalatnya karna renovasi kamar yg rokok kamar buka asap rokok kamar jg exhaustnya efektif overall sih hotel nyaman jangkau kali inap,51,positive
"Cocok banget buat yang bawa bayi. kamar luas, ada bathtub, ada wastafel buat cuci peralatan makannya. Ada kolam renang yang ada air hangat dan lain-lain. Semoga kedepannya dibangun sudut bermain untuk anak-anak, so far memuaskan menginap di el royal. Makan malam di sky lounge juga.",cocok banget bawa bayi kamar luas bathtub wastafel cuci alat makan kolam renang air hangat moga bangun sudut main anak anak so far muas inap el royal makan malam sky lounge,9,positive
"Senang menginap disini, kamar luas dengan bathtub bisa buat pengalihan saat anak-anak minta berenang tapi tidak bisa karena pas check-in sudah malam, pagi-pagi bangun tidur langsung berenang sampai tidak mau udahan, menu sarapan disini juga bervariasi, anak-anak senang ortu puas.",senang inap kamar luas bathtub alih anak anak renang pas check in malam pagi pagi bangun tidur langsung renang udahan menu sarap variasi anak anak senang ortu puas,18,positive
Dengan fasilitas serta ukuran kamar yg luas harga yg di bayarkan sangat relevan... good 😎,fasilitas ukur kamar yg luas harga yg bayar relevan good,17,positive
"Kolam renangnya bagus, breakfastnya enak. Cuma agak mahall saja untuk anak-anak sampai 75 ribu, dewasa 130 ribu. Menunya dari tradisional sampai western ada.",kolam renang bagus breakfastnya enak mahall anak anak ribu dewasa ribu menu tradisional western,-4,negative
Kamar type condotel nya bersih dan luas. Variasi makanan saat sarapan cukup banyak. Bener2 value for money dg rate yg diberikan oleh Traveloka.,kamar type condotel nya bersih luas variasi makan sarap bener value for money dg rate yg traveloka,10,positive
"Lokasi bagus, kamar luas, sarapan variasi banyak, tamunya juga banyak, hotelnya ramai.",lokasi bagus kamar luas sarap variasi tamu hotel ramai,12,positive
"Menyenangkan, hanya terlalu dekat dengan akses kereta api, jadi agak berisik, tapi tidak terlalu mengganggu, malah anak-anak excited tiap sirine kereta bunyi, yang hampir tiap 5 menit sekali nyala😅",senang akses kereta api berisik ganggu anak anak excited sirine kereta bunyi menit nyala,-4,negative
Transaksi hotel melalui Situs Traveloka merupakan pengalaman yang menyenangkan dan tanpa ada rasa cemas.,transaksi hotel situs traveloka alam senang cemas,9,positive
"Kamarnya sangat nyaman, makanannya enak pelayannya ramah",kamar nyaman makan enak layan ramah,17,positive
"Ruangan cukup luas, makanannya enak, fasilitas lumayan lengkap karena terdapat kolam renang dan juga kolam air hangat, lokasi juga strategis di tengah kota Bandung tetapi ada yang cukup kurang yaitu tidak bisa request check-out jam 1.",ruang luas makan enak fasilitas lumayan lengkap kolam renang kolam air hangat lokasi strategis kota bandung request check out jam,8,positive
Kamarnya bagus dan pelayanannya ramah.,kamar bagus layan ramah,9,positive
"Kamarnya luas banget dan nyaman, seperti apartemen 1 kamar. Cuma saja tidak ada peralatan masaknya. Hanya ada pemanas air bikin kopi or teh, ada kulkas, ada meja makan, ada sofa bisa buat tidur juga karena lumayan besar. Kamar mandi ada bathtubnya. Pokoknya nyaman, bersih dan bagus.",kamar luas banget nyaman apartemen kamar alat masak panas air bikin kopi or teh kulkas meja makan sofa tidur lumayan kamar mandi bathtubnya pokok nyaman bersih bagus,28,positive
Makanan dan kolam renang air hangatnya menyenangkan.,makan kolam renang air hangat senang,7,positive
Secara keseluruhan oke banget. Hanya saya kurang nyaman dengan dekor kamar yang menurut saya cukup redup. Pencahayaan lampu kamar mandi terutama. Thank you,oke banget nyaman dekor kamar redup cahaya lampu kamar mandi thank you,12,positive
"Ramah banget pelayanannya, akses kemana-mana gampang, fasilitasnya oke banget dan kalo ke Bandung pasti aku nginep di sini lagi, soalnya nyaman banget",ramah banget layan akses gampang fasilitas oke banget kalo bandung nginep nyaman banget,23,positive
